,content_id,reaction_type,Datetime,score,content_type,category
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50,0,photo,studying
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51,10,photo,studying
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:58,15,photo,studying
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,0,photo,studying
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58,30,photo,studying
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:54,35,photo,studying
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49,70,photo,studying
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:09,5,photo,studying
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23,35,photo,studying
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,2020-08-04 05:05:02,65,photo,studying
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:27,20,photo,studying
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:53,15,photo,studying
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 01:16:21,30,photo,studying
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:08,5,photo,studying
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:38,15,photo,studying
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 05:09:23,75,photo,studying
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 06:24:11,35,photo,studying
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:57,20,photo,studying
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:23,30,photo,studying
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2021-01-31 16:03:56,45,photo,studying
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:23,35,photo,studying
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:13,12,photo,studying
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:06,50,photo,studying
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59,60,photo,studying
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:19,12,photo,studying
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:39,5,photo,studying
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:17,5,photo,studying
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:42,70,photo,studying
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 03:57:20,75,photo,studying
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2020-08-25 08:21:56,45,photo,studying
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:12,15,photo,studying
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:11,30,photo,studying
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 03:21:13,20,photo,studying
